infinitive,class,stress
ба́ять,6,a
зна́ть,1,a
лете́ть,5,b
спа́ть,5,b
игра́ть,1,a
отпочко́вываться,1,a
жа́лить,4,a
презира́ть,1,a
де́лать,1,a
бы́ть,irreg,
уступа́ть,1,a
деревене́ть,1,a
держа́ть,5,c
дава́ть,13,b
скуча́ть,1,a
бра́ть,6,b
взя́ть,14,b
одеревене́ть,1,a
ужа́лить,4,a
да́ть,irreg,
сде́лать,1,a
презре́ть,5,b
открыва́ть,1,a
уступи́ть,4,c
откры́ть,12,a
еба́ться,6,b
щади́ть,4,b
е́сть,irreg,
говори́ть,4,b
воссозда́ть,irreg,
воссоздава́ть,13,b
создава́ть,13,b
созда́ть,irreg,
дости́гнуть,3,a
дости́чь,3,a
достига́ть,1,a
изъясни́ться,4,b
изны́ть,12,a
изъясня́ться,1,a
заба́вить,4,a
изныва́ть,1,a
изда́ть,irreg,
изда́ться,irreg,
издава́ться,13,b
издава́ть,13,b
люби́ть,4,c
обе́дать,1,a
идти́,irreg,
деревяне́ть,1,a
ста́ть,15,a
мульчи́ровать,2,a
облока́чиваться,1,a
хохота́ть,6,c
бзде́ть,5,b
тусова́ться,2,a
рехну́ться,3,b
набзде́ть,5,b
ви́деть,5,a
вы́ковырнуть,3,a
сиде́ть,5,b
пи́ть,11,b
мы́ть,12,a
ли́ть,11,b
ви́ть,11,b
би́ть,11,b
ши́ть,11,b
произойти́,irreg,
происходи́ть,4,c
приходи́ть,4,c
сказа́ть,6,c
полюби́ть,4,c
мо́чь,8,c
хоте́ть,5,c
ка́кать,1,a
ходи́ть,4,c
проводи́ть,4,c
вра́ть,6,b
учи́ть,4,c
озаря́ть,1,a
возлюби́ть,4,c
вообрази́ть,4,b
восславля́ть,1,a
вообража́ть,1,a
воссла́вить,4,a
прочита́ть,1,a
находи́ть,4,c
найти́,irreg,
выковы́ривать,1,a
чита́ть,1,a
учи́ться,4,c
сши́ть,11,b
расска́зывать,1,a
жи́ть,16,b
е́здить,4,a
завибри́ровать,2,a
сгоре́ть,5,b
писа́ть,6,c
пи́сать,1,a
координи́ровать,2,a
обма́нывать,1,a
проче́сть,7,b
испо́льзоваться,2,a
испо́льзовать,2,a
использо́вывать,1,a
че́сть,7,b
пи́здить,4,a
пизде́ть,5,b
еба́ть,6,b
рабо́тать,1,a
кла́сть,7,b
смо́чь,8,c
кури́ть,4,c
вы́пить,11,a
помога́ть,1,a
рассказа́ть,6,c
се́сть,7,a
помо́чь,8,c
доходи́ть,4,c
конча́ть,1,a
послу́шать,1,a
слу́шать,1,a
покури́ть,4,c
пообе́дать,1,a
уста́ть,15,a
устава́ть,13,b
спе́чь,8,b
испе́чь,8,b
пое́хать,irreg,
мы́ться,12,a
помы́ться,12,a
помы́ть,12,a
пожива́ть,1,a
сте́чь,8,b
стека́ть,1,a
полете́ть,5,b
пе́чь,8,b
пойти́,irreg,
поговори́ть,4,b
почу́вствовать,2,a
чу́вствоваться,2,a
чу́вствовать,2,a
понра́виться,4,a
вышиба́ть,1,a
нра́виться,4,a
поби́ть,11,b
пощади́ть,4,b
уви́деть,5,a
узна́ть,1,a
вы́шибить,irreg,
написа́ть,6,c
ко́нчиться,4,a
ко́нчить,4,a
конча́ться,1,a
заржа́ть,6,b
ржа́ть,6,b
е́хать,irreg,
совра́ть,6,b
захоте́ть,5,c
дойти́,irreg,
понима́ть,1,a
поня́ть,14,b
воспреща́ть,1,a
почу́вствоваться,2,a
изменя́ть,1,a
измени́ть,4,c
побежа́ть,5,b
бежа́ть,5,b
попры́гать,1,a
пры́гнуть,3,a
пры́гать,1,a
кова́ть,2,b
попуга́ть,1,a
умира́ть,1,a
лета́ть,1,a
пла́вать,1,a
блиста́ть,1,a
лома́ть,1,a
слыха́ть,1,a
ла́зить,4,a
сажа́ть,1,a
гоня́ть,1,a
вози́ть,4,c
бе́гать,1,a
находи́ться,4,c
вида́ть,1,a
